
30-SEP-1987	0:45

TOTAL PAGES 18759  FILES 2393

  INHOUSE	QUOTA		  OVER		OUTHOUSE

18759   2393                             0   0

 19   3659  621  15000 SPUNKDEV
 31   2331  155  25000 M33
 43   2141  482   4000 SPUNKTEST
 52   1711  330  10000 SUBMIT
 61   1679  158  10000 MPL
 68   1257  123   5000 SPL
 72    772   26  12500 TXSSUP
 75    700   19  25000 MAIL
 79    699   79 200000 CARL
 83    640   77   5000 XEXEC
 85    543   87   1250 SAILIB
 88    540   11   1250 DENCOFF
 91    399   50  40000 JMS
 92    344   27   1250 PEAK
 94    301   28  25000 OSMAN
 96    297   37 250000 WRS
 97    217   12   1250 TBAUSPS
 98    184   16   1250 SPPOPER
 98    106   11 100000 OSU
 99     57   12   1250 PUB
 99     53    3  20000 OSP
 99     42    9   5000 NDT
 99     35    2   1250 TXSDOC
 99     30    7   1250 TYMGRIPE
 99     10    5   1250 SYSMAINT
 99      6    3   1250 FLETCHERC
 99      2    1   1250 KS2020
 99      2    1   1250 SAILTEST
100      2    1   9999 LINK10
100      0    0   1250 SPPARCH
100      0    0  25000 TXSTEST
100      0    0  10000 OSNF
100      0    0   1250 TXSTEXT
100      0    0   3000 TSUCOOP
